@relation simple-2d
@attribute att0 numeric
@attribute att1 numeric
@attribute class {0,1,2}
@data
9.83057338368,7.46914202262,1
10.2014514664,10.501755799,1
0.299070529594,1.07654064385,0
19.5942500952,20.3850863616,2
9.79559422191,7.89015997435,1
19.8557372545,20.1930978877,2
19.3366425583,19.7686079395,2
10.432874592,9.45943421229,1
10.0295619519,10.1238420164,1
21.6725063797,21.1357756102,2
10.2265373867,9.77147456927,1
11.1986787225,7.40534573034,1
21.029705723,22.0892535178,2
18.9456277979,20.2647779337,2
-0.0142787886276,-0.246720806819,0
2.07518540673,-1.48940970133,0
0.639632763194,-0.962028831905,0
12.6519991181,9.86376962964,1
9.04565768923,11.5914641141,1
9.81403362919,9.76416935981,1
0.209394787536,-0.592886003839,0
-1.20801559283,-1.33970103997,0
0.48428811275,1.36348151243,0
20.1284447859,19.7372114441,2
0.425530591398,-0.980724357501,0
0.759652532093,-0.423006228419,0
19.1910586913,19.3760840242,2
-2.07498048617,-1.00275521702,0
-0.344766014255,0.528288145297,0
9.35882274653,11.5387739412,1
-0.195472412697,-0.463419399217,0
11.4704739393,9.97844211638,1
19.178518025,19.3320063617,2
8.62171831401,9.70485558618,1
-1.73477830754,0.271660784374,0
19.7100552962,19.4134617516,2
2.48145842288,1.38525487619,0
11.0691111502,8.9099242864,1
19.8723712332,20.572691025,2
11.3812877674,10.0684265587,1
10.0605213416,7.87955836684,1
8.6954587891,10.5397352373,1
-2.08526564212,1.93024676747,0
18.6161403412,20.7394479749,2
22.5112148136,18.7607664237,2
0.224585770765,-1.13470822657,0
10.7084741211,9.87148760258,1
10.6478541536,10.5065929046,1
11.4543434764,10.7043082982,1
19.8860202885,20.9449449313,2
8.58152015389,9.86024665979,1
7.37699571552,12.1158507289,1
0.924442867343,-0.0612462998663,0
19.5044125388,19.0313486034,2
0.211883386778,0.704720624317,0
9.39363267155,10.6947053421,1
0.755413982398,0.215268580969,0
-0.238335365467,1.93217816958,0
8.91447653643,10.363209761,1
10.2894300567,9.69850775605,1
20.2722776806,20.3058230798,2
22.2959638054,18.7898680238,2
-0.202646324629,-0.655969344139,0
19.4603019603,19.7036637163,2
-0.470014813398,0.349566771628,0
10.8933687077,11.2885547385,1
19.6466454232,21.5530442101,2
10.0219946466,11.1081600674,1
9.09447235956,11.6761854256,1
0.0761995878372,-0.566445930465,0
10.838048584,9.09211838724,1
10.6697599912,9.42591958124,1
1.00314036204,1.07867355132,0
0.228927255504,1.09274105729,0
-0.766039883523,0.0998820765026,0
20.6047647543,21.9296713186,2
-1.02746884717,-0.30663848387,0
18.7763316677,19.6647713518,2
0.718904921543,-0.166559577277,0
19.3844393836,20.3852855364,2
7.80770642351,9.8883987623,1
16.1191015887,20.9744703792,2
10.2956177553,8.01045677879,1
1.52940067448,0.205454853926,0
-0.203932866101,-0.182175411666,0
0.995992970246,0.955557932627,0
0.353769293997,-0.275593633768,0
20.6523780868,19.1421100217,2
20.0685523667,20.9110619705,2
10.3270638039,9.64703830986,1
20.3880532729,18.1392287848,2
21.7641194697,21.197646134,2
-0.903159036997,-1.09727806242,0
10.0465618906,8.3201711411,1
2.03060362084,-1.14263128902,0
20.144408464,21.1600455221,2
0.749184600924,-0.675521478437,0
0.694103287679,0.67862967371,0
19.7747026144,19.3375656485,2
9.98416183933,9.61218525906,1
20.6667516134,20.0328513521,2
10.0514778607,9.10941034277,1
-1.56014888889,1.55739765065,0
-0.748527953339,-0.10812492648,0
18.8135463145,18.4446682635,2
-2.14785503764,-1.34753251346,0
9.21173361742,11.055752164,1
9.44900396069,9.39596267375,1
9.93615691658,9.06789813988,1
18.4113609496,18.7633403874,2
9.16587669786,10.8850746465,1
10.6855615855,9.84255601529,1
8.18672286759,9.80208924028,1
9.86632578968,8.92259667529,1
0.226363227252,-2.0786178937,0
-1.16752033324,0.040843424766,0
19.1070231892,21.9350439373,2
20.3433474065,20.0673438696,2
18.2879027228,22.1881393198,2
19.2182915513,19.6312630592,2
19.6095868504,20.4241654448,2
9.71090421234,10.6769776127,1
19.4066715245,21.2086187222,2
19.8770525053,21.0002189667,2
19.8175084963,19.2096916911,2
10.1099725427,12.006561127,1
10.4144350113,10.9498579011,1
20.1750913609,18.7588620333,2
1.04757857289,1.04593825563,0
